BoxPos;BoxPNo;BoxId;ONo;OPos;PNo;PNoGroup
1;27;1;0;0;0;5
1;27;2;0;0;0;5
1;27;3;0;0;0;5
1;27;4;0;0;0;5
1;28;1;0;0;2000;0
1;28;2;2267;1;2000;0
1;28;3;2268;1;2000;0
1;28;4;0;0;0;0
1;28;5;0;0;0;0
1;28;6;0;0;0;0
1;28;7;0;0;0;0
1;28;8;0;0;0;0
1;28;9;0;0;0;0
1;28;10;0;0;0;0
1;28;11;0;0;0;0
1;28;12;0;0;0;0
1;28;13;0;0;0;0
1;28;14;0;0;0;0
1;28;15;0;0;0;0
1;28;16;0;0;0;0
2;27;1;0;0;0;5
2;27;2;0;0;0;5
2;27;3;0;0;0;5
2;27;4;0;0;0;5
2;28;1;0;0;2000;0
2;28;2;0;0;0;0
2;28;3;0;0;0;0
2;28;4;0;0;0;0
2;28;5;0;0;0;0
2;28;6;0;0;0;0
2;28;7;0;0;0;0
2;28;8;0;0;0;0
2;28;9;0;0;0;0
2;28;10;0;0;0;0
2;28;11;0;0;0;0
2;28;12;0;0;0;0
2;28;13;0;0;0;0
2;28;14;0;0;0;0
2;28;15;0;0;0;0
2;28;16;0;0;0;0
3;27;1;0;0;0;5
3;27;2;0;0;0;5
3;27;3;0;0;0;5
3;27;4;0;0;0;5
3;28;1;0;0;2000;0
3;28;2;0;0;0;0
3;28;3;0;0;0;0
3;28;4;0;0;0;0
3;28;5;0;0;0;0
3;28;6;0;0;0;0
3;28;7;0;0;0;0
3;28;8;0;0;0;0
3;28;9;0;0;0;0
3;28;10;0;0;0;0
3;28;11;0;0;0;0
3;28;12;0;0;0;0
3;28;13;0;0;0;0
3;28;14;0;0;0;0
3;28;15;0;0;0;0
3;28;16;0;0;0;0
4;27;1;0;0;0;5
4;27;2;0;0;0;5
4;27;3;0;0;0;5
4;27;4;0;0;0;5
4;28;1;0;0;2000;0
4;28;2;0;0;0;0
4;28;3;0;0;0;0
4;28;4;0;0;0;0
4;28;5;0;0;0;0
4;28;6;0;0;0;0
4;28;7;0;0;0;0
4;28;8;0;0;0;0
4;28;9;0;0;0;0
4;28;10;0;0;0;0
4;28;11;0;0;0;0
4;28;12;0;0;0;0
4;28;13;0;0;0;0
4;28;14;0;0;0;0
4;28;15;0;0;0;0
4;28;16;0;0;0;0
5;27;1;0;0;0;5
5;27;2;0;0;0;5
5;27;3;0;0;0;5
5;27;4;0;0;0;5
5;28;1;2264;1;2000;0
5;28;2;0;0;0;0
5;28;3;0;0;0;0
5;28;4;0;0;0;0
5;28;5;0;0;0;0
5;28;6;0;0;0;0
5;28;7;0;0;0;0
5;28;8;0;0;0;0
5;28;9;0;0;0;0
5;28;10;0;0;0;0
5;28;11;0;0;0;0
5;28;12;0;0;0;0
5;28;13;0;0;0;0
5;28;14;0;0;0;0
5;28;15;0;0;0;0
5;28;16;0;0;0;0
6;27;1;0;0;0;5
6;27;2;0;0;0;5
6;27;3;0;0;0;5
6;27;4;0;0;0;5
6;28;1;2264;2;2000;0
6;28;2;0;0;0;0
6;28;3;0;0;0;0
6;28;4;0;0;0;0
6;28;5;0;0;0;0
6;28;6;0;0;0;0
6;28;7;0;0;0;0
6;28;8;0;0;0;0
6;28;9;0;0;0;0
6;28;10;0;0;0;0
6;28;11;0;0;0;0
6;28;12;0;0;0;0
6;28;13;0;0;0;0
6;28;14;0;0;0;0
6;28;15;0;0;0;0
6;28;16;0;0;0;0
7;27;1;0;0;0;5
7;27;2;0;0;0;5
7;27;3;0;0;0;5
7;27;4;0;0;0;5
7;28;1;2266;1;2000;0
7;28;2;0;0;0;0
7;28;3;0;0;0;0
7;28;4;0;0;0;0
7;28;5;0;0;0;0
7;28;6;0;0;0;0
7;28;7;0;0;0;0
7;28;8;0;0;0;0
7;28;9;0;0;0;0
7;28;10;0;0;0;0
7;28;11;0;0;0;0
7;28;12;0;0;0;0
7;28;13;0;0;0;0
7;28;14;0;0;0;0
7;28;15;0;0;0;0
7;28;16;0;0;0;0
8;27;1;0;0;0;5
8;27;2;0;0;0;5
8;27;3;0;0;0;5
8;27;4;0;0;0;5
8;28;1;0;0;0;0
8;28;2;0;0;0;0
8;28;3;0;0;0;0
8;28;4;0;0;0;0
8;28;5;0;0;0;0
8;28;6;0;0;0;0
8;28;7;0;0;0;0
8;28;8;0;0;0;0
8;28;9;0;0;0;0
8;28;10;0;0;0;0
8;28;11;0;0;0;0
8;28;12;0;0;0;0
8;28;13;0;0;0;0
8;28;14;0;0;0;0
8;28;15;0;0;0;0
8;28;16;0;0;0;0
